"","Water","Water2","TAXON","p_lit","adjp_lit","plit_bound","tp_2","Lake"
"116","Stormy","Reference","SMB",0.494108207244384,0.494108207244384,0.494108207244384,3.73430401596677,"Reference 5"
"117","Stormy","Reference","SMB",0.707473635946813,0.707473635946813,0.707473635946813,3.8645919303072,"Reference 5"
"118","Stormy","Reference","SMB",0.365176524530032,0.365176524530032,0.365176524530032,3.47751490142137,"Reference 5"
"119","Stormy","Reference","SMB",0.429413113250803,0.429413113250803,0.429413113250803,3.78081371200475,"Reference 5"
"120","Stormy","Reference","SMB",0.308115543328748,0.308115543328748,0.308115543328748,3.49780119750789,"Reference 5"
"121","Stormy","Reference","SMB",0.422627235213206,0.422627235213206,0.422627235213206,3.64856784529493,"Reference 5"
"122","Stormy","Reference","SMB",0.250550206327373,0.250550206327373,0.250550206327373,3.72375920381908,"Reference 5"
"123","Stormy","Reference","SMB",0.406740027510317,0.406740027510317,0.406740027510317,3.68310907031313,"Reference 5"
"124","Stormy","Reference","SMB",0.433883539660706,0.433883539660706,0.433883539660706,3.67973959597594,"Reference 5"
"125","Stormy","Reference","SMB",0.385878037597432,0.385878037597432,0.385878037597432,3.55674906276128,"Reference 5"
"126","Stormy","Reference","SMB",0.376547455295736,0.376547455295736,0.376547455295736,3.62344040779998,"Reference 5"
"127","Stormy","Reference","SMB",0.422673085740487,0.422673085740487,0.422673085740487,3.61623405345632,"Reference 5"
"128","Stormy","Reference","SMB",0.519463548830812,0.519463548830812,0.519463548830812,4.05959948215875,"Reference 5"
"129","Stormy","Reference","YPERCH",-0.047294818890417,0,-0.047294818890417,3.21911764705882,"Reference 5"
"130","Stormy","Reference","YPERCH",0.0352132049518572,0.0352132049518572,0.0352132049518572,3.58970669147989,"Reference 5"
"131","Stormy","Reference","YPERCH",-0.0174690508940853,0,-0.0174690508940853,3.03088235294118,"Reference 5"
"132","Stormy","Reference","YPERCH",0.0854883081155437,0.0854883081155437,0.0854883081155437,3.25482158750708,"Reference 5"
"133","Stormy","Reference","YPERCH",-0.11382393397524,0,-0.11382393397524,2.84852941176471,"Reference 5"
"134","Stormy","Reference","YPERCH",0.0511691884456668,0.0511691884456668,0.0511691884456668,3.69342948458613,"Reference 5"
"135","Stormy","Reference","YPERCH",-0.0176983035304909,0,-0.0176983035304909,3.61911764705882,"Reference 5"
"136","Stormy","Reference","YPERCH",-0.00609812012838193,0,-0.00609812012838193,3.63088235294118,"Reference 5"
